Experimental_Interaction	db	publications
"[{'O00165', 'Q8ZCH3'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q8ZDX4'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q8ZHF4'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q81SR4'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00165', 'Q8ZBU3'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00182', 'Q8CZH4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q7ARD3', 'O00182'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2U2H4E7', 'O00182'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00182', 'A0A6L8NZ90'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YHJ8', 'O00182'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YJR8', 'O00182'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NGC3', 'O00182'}]"	HPIdb;IntAct	{'20711500'}
"[{'O00182', 'A0A0F7RE60'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZGW9', 'O00182'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81S70', 'O00182'}]"	HPIdb;IntAct	{'20711500'}
